id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
402,CZ,33985,Hulín,xxxx0000100A,971,17.4767309589985,49.3164640749541,,S1,-533884
404,CZ,35956,Říkovice,xxxx0000100A,972,17.4536968974528,49.3790711100199,,S1,-534880
1771,CZ,34005,Třebětice,xxxx0001640A,973,17.5195083735315,49.3175727094832,,S1,-530776
1769,CZ,33855,Holešov,xxxx0001640A,974,17.5708453852543,49.3272423970166,,S1,-526959
34,CZ,33142,Brodek u Přerova,xKADR034537B,976,17.3374128584455,49.4820328932354,,S1,-542163
83,CZ,33012,Blatec,xKADR043716C,977,17.246304464622,49.5255426811203,,S1,-548253
35,CZ,33482,Grygov,xKADR034537B,978,17.3054290613809,49.5336822009954,,S1,-543905
30,CZ,34115,Věžky,xKADR034537B,979,17.416188461389,49.4082002026383,,S1,-537277
32,CZ,34662,Přerov,xKADR034537B,980,17.445318670114,49.4473851106102,,S1,-534753
406,CZ,34652,Prosenice,xxxx0000100A,981,17.484782199558,49.5032672723495,,S1,-531308
408,CZ,34042,Lipník nad Bečvou,xxxx0000100A,982,17.5729993656313,49.5290593746063,,S1,-524676
3200,CZ,33735,Konice,xxxx0024700A,983,16.8837234849403,49.5916141051254,,S1,-573603
3186,CZ,34132,Mladeč,xxxx0023800A,984,17.0035722186504,49.7042136896621,,S1,-563704
2788,CZ,33452,Drahanovice,xxxx0014001A,985,17.0793796082359,49.5831629178047,,S1,-559628
2768,CZ,34862,Senice na Hané,xxxx0013800A,986,17.0998683832481,49.6215938764261,,S1,-557722
2769,CZ,34702,Příkazy,xxxx0013800A,987,17.1453673337678,49.6381770934903,,S1,-554266
2772,CZ,34392,Olomouc-Řepčín,xxxx0013800A,988,17.2239022780446,49.6166913889663,,S1,-548860
2771,CZ,33642,Horka nad Moravou,xxxx0013800A,989,17.2016849647575,49.6377302997061,,S1,-550224
2763,CZ,34092,Litovel předměstí,xxxx0013800A,990,17.0714430825187,49.6941394838616,,S1,-558948
2778,CZ,34082,Litovel,xxxx0013801A,991,17.0746288678432,49.7128670012029,,S1,-558508
40,CZ,33312,Červenka,xKADR034537B,992,17.091157869082,49.7237023940393,,S1,-557200
38,CZ,34932,Štěpánov,xKADR034537B,993,17.2211978100444,49.6710224215843,,S1,-548453
42,CZ,34282,Mohelnice,xKADR034537B,994,16.9430951183914,49.7766829019869,,S1,-567213
43,CZ,34162,Lukavice na Moravě,xKADR034537B,995,16.916770438125,49.8254104105463,,S1,-568539
41,CZ,34292,Moravičany,xKADR034537B,996,16.9680295659207,49.7584838955339,,S1,-565634
